acc,accuracy,avg_rt,browser_codename,browser_name,browser_version,category,correct,correct_response,count_reset_feedback,count_trial_sequence,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_generalMultiple,response_keyboard_response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,subject_nr,system_os,target
100,100,123,,,,None,1,m,0,41,,,,,,,,,,,,,m,123,,,,,,,,,1,,None
100,100,124,,,,None,1,m,0,42,,,,,,,,,,,,,m,143,,,,,,,,,1,,None
100,100,124,,,,None,1,m,0,43,,,,,,,,,,,,,m,129,,,,,,,,,1,,None
100,100,124,,,,None,1,m,0,44,,,,,,,,,,,,,m,116,,,,,,,,,1,,None
100,100,124,,,,None,1,m,0,45,,,,,,,,,,,,,m,131,,,,,,,,,1,,None
100,100,124,,,,None,1,m,0,46,,,,,,,,,,,,,m,149,,,,,,,,,1,,None
100,100,125,,,,None,1,m,0,47,,,,,,,,,,,,,m,145,,,,,,,,,1,,None
100,100,125,,,,None,1,m,0,48,,,,,,,,,,,,,m,129,,,,,,,,,1,,None
100,100,126,,,,None,1,m,0,49,,,,,,,,,,,,,m,191,,,,,,,,,1,,None
100,100,435,,,,None,1,m,0,0,,,,,,,,,,,,,m,435,,,,,,,,,0,,None
100,100,263,,,,None,1,m,0,1,,,,,,,,,,,,,m,90,,,,,,,,,0,,None
100,100,220,,,,None,1,m,0,2,,,,,,,,,,,,,m,135,,,,,,,,,0,,None
100,100,195,,,,None,1,m,0,3,,,,,,,,,,,,,m,120,,,,,,,,,0,,None
100,100,176,,,,None,1,m,0,4,,,,,,,,,,,,,m,102,,,,,,,,,0,,None
100,100,163,,,,None,1,m,0,5,,,,,,,,,,,,,m,96,,,,,,,,,0,,None
100,100,149,,,,None,1,m,0,6,,,,,,,,,,,,,m,68,,,,,,,,,0,,None
100,100,143,,,,None,1,m,0,7,,,,,,,,,,,,,m,100,,,,,,,,,0,,None
100,100,139,,,,None,1,m,0,8,,,,,,,,,,,,,m,103,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,9,,,,,,,,,,,,,m,120,,,,,,,,,0,,None
100,100,140,,,,None,1,m,0,10,,,,,,,,,,,,,m,169,,,,,,,,,0,,None
100,100,139,,,,None,1,m,0,11,,,,,,,,,,,,,m,125,,,,,,,,,0,,None
100,100,138,,,,None,1,m,0,12,,,,,,,,,,,,,m,136,,,,,,,,,0,,None
100,100,138,,,,None,1,m,0,13,,,,,,,,,,,,,m,127,,,,,,,,,0,,None
100,100,138,,,,None,1,m,0,14,,,,,,,,,,,,,m,137,,,,,,,,,0,,None
100,100,136,,,,None,1,m,0,15,,,,,,,,,,,,,m,119,,,,,,,,,0,,None
100,100,136,,,,None,1,m,0,16,,,,,,,,,,,,,m,127,,,,,,,,,0,,None
100,100,136,,,,None,1,m,0,17,,,,,,,,,,,,,m,143,,,,,,,,,0,,None
100,100,136,,,,None,1,m,0,18,,,,,,,,,,,,,m,128,,,,,,,,,0,,None
100,100,135,,,,None,1,m,0,19,,,,,,,,,,,,,m,123,,,,,,,,,0,,None
100,100,136,,,,None,1,m,0,20,,,,,,,,,,,,,m,144,,,,,,,,,0,,None
100,100,135,,,,None,1,m,0,21,,,,,,,,,,,,,m,123,,,,,,,,,0,,None
100,100,135,,,,None,1,m,0,22,,,,,,,,,,,,,m,134,,,,,,,,,0,,None
100,100,135,,,,None,1,m,0,23,,,,,,,,,,,,,m,127,,,,,,,,,0,,None
100,100,135,,,,None,1,m,0,24,,,,,,,,,,,,,m,136,,,,,,,,,0,,None
100,100,135,,,,None,1,m,0,25,,,,,,,,,,,,,m,130,,,,,,,,,0,,None
100,100,135,,,,None,1,m,0,26,,,,,,,,,,,,,m,135,,,,,,,,,0,,None
100,100,135,,,,None,1,m,0,27,,,,,,,,,,,,,m,135,,,,,,,,,0,,None
100,100,135,,,,None,1,m,0,28,,,,,,,,,,,,,m,153,,,,,,,,,0,,None
100,100,135,,,,None,1,m,0,29,,,,,,,,,,,,,m,141,,,,,,,,,0,,None
